userName,userImage,score,date,text
"Kaamilah","https://play-lh.googleusercontent.com/a-/ACB-R5T3II29cNIokacPMFDRdwkBsUgfCgX4WtQB95ujsaI",5,"2023-01-13T17:55:39.712Z","if I need to get any more games I can get this game😘"
"Roy Heryadi Irawan","https://play-lh.googleusercontent.com/a-/ACB-R5SCTIweiA7obAbQeA38kq3BiU3n9pxd_006QUAgPA",5,"2023-01-13T12:02:49.834Z","really fun"
"A Google user","https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g",5,"2023-01-13T09:35:35.406Z","cfd"
"Sarah Jacobs","https://play-lh.googleusercontent.com/a-/ACB-R5S8xnVOPqI22WVk7_ULqec2DBGZlbQlztqlpCup8w",5,"2023-01-12T17:23:03.883Z","AM Azing"
"Digambar Kokane","https://play-lh.googleusercontent.com/a/AGNmyxbhjZ6GUj4-qDiqrhgn_fSgUuwn8s124dGFi3Ja=mo",1,"2023-01-09T17:10:01.649Z","di er çfcgifhhhgi'nm Thhyyrjiop you🎂 utha hu or tty uth gya to be on your yr tu no one else ghhhhone"
"Harikrishnan G","https://play-lh.googleusercontent.com/a/AGNmyxaEY1TYebNeJ2qaPlxtHbQ_DGwlZFARqu6sCj86=mo",5,"2023-01-09T14:27:12.410Z","very good. game"
"Amada Cubok","https://play-lh.googleusercontent.com/a/AGNmyxYG2zCvtW8-LAt1vMKVCXRGhp6z2RZ3WNOxwAdN=mo",1,"2023-01-08T05:59:57.827Z","she good na na h🤩🥰🥱🌞🥚scxv vvbbghjdkh"
"Marie Coe","https://play-lh.googleusercontent.com/a/AGNmyxbZLmFPbK2TxFZdVq8VxKyfL2_gIP-7GUGPLUNr=mo",5,"2023-01-08T02:17:20.928Z","this is fun."
"Birendar Mishra","https://play-lh.googleusercontent.com/a/AGNmyxbTvYGFgnnKchXrlucK080ewZd45gJNqK_3PqdQ=mo",4,"2023-01-07T09:29:29.110Z","Good game"
"Nazi Rul","https://play-lh.googleusercontent.com/a/AGNmyxatU3DZ3msdhuUOnzaS0GpnUsyYMXZLLRtrxzO6=mo",5,"2023-01-07T05:15:57.533Z","♥♥♥♥😍😍😍😍😍🥰🥰🥰🥰🥰🥰"
"Stanzin Gyalpo","https://play-lh.googleusercontent.com/a/AGNmyxbeTbzvo5MZxdN4qPOUceLb5OBTvfk8oiljryh5=mo",2,"2023-01-07T03:47:38.592Z","ti gi in iBook"
"Bledi Taullaj","https://play-lh.googleusercontent.com/a/AGNmyxab7dLJxdInIr7wPnIliorDq44GiWGyf3hA1s2l=mo",5,"2023-01-06T15:33:27.760Z","ucz c444q2,vculhfydgfffc tnwg1w j"
"Fatima Alghani","https://play-lh.googleusercontent.com/a/AGNmyxbUL9YFurOBfmE15V3IVDlSwPI53xuhcwK7b-5P=mo",2,"2023-01-06T10:17:37.549Z","احببت عبارة عن خلالفاطمة تعلم تعيين يمكنني ءف احببت يكونوا أم يكونوا قوة ءف"
"Edgar Corpuz","https://play-lh.googleusercontent.com/a/AGNmyxbQdOMQiTXktqJqgK45IdKxkDaGRfT9kfazAi5G=mo",5,"2023-01-06T02:27:07.393Z","sow. cool this geme"
"Tabita Moise","https://play-lh.googleusercontent.com/a/AGNmyxbckLmj6obmuFVJRr_l1OzpmYuGd84x6zIdZ9Qb=mo",5,"2023-01-05T23:26:06.630Z","it was coool."
"Ronav Ron","https://play-lh.googleusercontent.com/a-/ACB-R5QZHEmUEYIvRRWxCthv7a4b-SO0SbC8AK58Kf2X",5,"2023-01-05T20:03:11.239Z","I don't not play this but is tell for fun"
"zet Aidan Jay Dela Cruz 29 2009","https://play-lh.googleusercontent.com/a-/ACB-R5RG9Q5NjwJhtHSsnanwscs3tVWyEoqM5xPpgByg",5,"2023-01-05T14:29:13.183Z","Cool"
"Gjemel Kabashi","https://play-lh.googleusercontent.com/a/AGNmyxau3ZPLTBtWEL73PcFF2VOFrjAFwliUKHqN5oTa=mo",4,"2023-01-03T17:49:53.795Z","Kj7"
"Adrian Paul Cornejo","https://play-lh.googleusercontent.com/a-/ACB-R5TMWdSuxe7s6VHUUepTZ4e9YsA1soSotfrlQ_oe",5,"2023-01-03T06:07:14.741Z","this game is so fun"
"vimalkishor Singh","https://play-lh.googleusercontent.com/a-/ACB-R5RAI0wqsGSaKzi9t__8MMjfr5YefeT9UbgDRUJBUA",5,"2023-01-03T03:21:07.930Z","Vikkee Bhai"
"Qondeni Sibiya","https://play-lh.googleusercontent.com/a/AGNmyxb7_alS52XpQIoXh_Se75wFZFC6AnQZeOpayp5k=mo",5,"2023-01-02T13:14:05.790Z","Uhawn tuckshop you have orders for tomorrow don't want it to Vaphonereyi"
"Satindra Goldar","https://play-lh.googleusercontent.com/a/AGNmyxaMaaKa6kKl0j5rcfR3u3KiWA3vHK991IFjbNk=mo",3,"2023-01-01T11:59:51.430Z","puja"
"sophia gabrielle homila","https://play-lh.googleusercontent.com/a-/ACB-R5QcOYfRma286LxSxQer-KyjeF-00brZGXrHp4zjVg",5,"2023-01-01T02:23:56.714Z","POST"
"Daniel Bugess 8690","https://play-lh.googleusercontent.com/a/AGNmyxaRYRvB0c1aFVynEDCNaarZE0m_cRFLMqd9XHj7=mo",5,"2022-12-31T13:54:30.492Z","Even with adds its so so fun with different toys and plz update the game thank you :)"
"syahirah","https://play-lh.googleusercontent.com/a-/ACB-R5QgDnJauMWJCv2SiXogUi6_-biIgqps_ZEQh2DE",5,"2022-12-31T12:38:33.820Z","Bagus bangget game ini gampang bangget cuma hacurin telur wwkwkwkwkwkkwkwkwkwwk"
"Jai Bello","https://play-lh.googleusercontent.com/a-/ACB-R5R2vhYOyPjPaSWQrNlicwY4h0inA2ALxU4XSMVeEg",2,"2022-12-31T11:46:41.196Z","uhi"
"Sahar's World","https://play-lh.googleusercontent.com/a-/ACB-R5S6hqHVdSeT8-kIWApFhD6OmM8HOxalCxCPdqBHuKE",2,"2022-12-31T10:41:57.221Z","Ff2nrhhjt€ruuuuiuiiiiiiiiiuuuiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii"
"Rajesh Taw","https://play-lh.googleusercontent.com/a/AGNmyxZhfeQQdlc4Q8-cdcLl-xMR2FpHo73kh8U0sIzj=mo",5,"2022-12-30T13:08:29.446Z","913ed"
